CONTEXTID,TIMETAG,EQ-CH14_01_CoolingWater_OutTemp,EQ-CH14_01_CoolingWater_InTemp,EQ-CH14_01_CoolingWater_TempDiff,EQ-CH14_01_ColdWater_OutTemp,EQ-CH14_01_ColdWater_InTemp,EQ-CH14_01_ColdWater_TempDiff,EQ-CH14_01_Evaporator,EQ-CH14_01_Condenser,EQ-CH14_CHP_01_hz,EQ-CH14_CHP_01_flow,EQ-CH14_01_RT,EQ-CH14_CWP_01_hz,METROLOGY-CH14_01_KW
124543,2022/8/1 00:00,35.1,27.8,7.3,13.9,20.4,6.5,1.7,-0.7,45.82084,1524.333,3276.509,50.80903,1189.731
124544,2022/8/1 00:05,34.9,27.8,7.1,14,20.4,6.4,1.7,-0.7,45.56042,1515.56,3195.874,50.21875,1190.165
124545,2022/8/1 00:10,35,27.8,7.2,14,20.4,6.4,1.7,-0.7,45.45625,1505.629,3200.542,50.42708,1188.494
124546,2022/8/1 00:15,35,27.7,7.3,14,20.4,6.4,1.7,-0.8,45.21319,1498.971,3184.171,50.39236,1190.342
124547,2022/8/1 00:20,34.8,27.7,7.1,13.9,20.4,6.5,1.7,-0.7,45.26528,1504.521,3229.158,50.63541,1189.773
124548,2022/8/1 00:25,34.8,27.6,7.2,13.9,20.4,6.5,1.7,-0.7,45.0743,1498.971,3205.22,50.51389,1180.355
124549,2022/8/1 00:30,34.8,27.6,7.2,13.9,20.4,6.5,1.7,-0.7,44.90069,1490.049,3205.22,50.07986,1176.914
124550,2022/8/1 00:35,34.8,27.6,7.2,13.9,20.4,6.5,1.7,-0.7,45.28263,1504.521,3224.385,50.0625,1183.466
124551,2022/8/1 00:40,34.7,27.6,7.1,13.9,20.4,6.5,1.7,-0.7,44.32778,1476.564,3161.676,50.07986,1170.489
124552,2022/8/1 00:45,34.7,27.5,7.2,13.9,20.4,6.5,1.7,-0.7,44.50139,1479.947,3173.831,49.73264,1167.246
124553,2022/8/1 00:50,34.6,27.4,7.2,13.9,20.4,6.5,1.6,-0.7,44.29306,1473.173,3176.257,50.13194,1154.051
124554,2022/8/1 00:55,34.6,27.4,7.2,14,20.4,6.4,1.7,-0.7,44.43194,1476.564,3125.003,50.02778,1162.641
124555,2022/8/1 01:00,34.6,27.4,7.2,14,20.4,6.4,1.7,-0.7,44.41459,1473.173,3129.778,50.14931,1159.48
124556,2022/8/1 01:05,34.6,27.4,7.2,14,20.5,6.5,1.7,-0.7,44.57083,1479.947,3185.94,50.04514,1158.135
124557,2022/8/1 01:10,34.6,27.4,7.2,14,20.5,6.5,1.7,-0.7,44.675,1484.445,3193.184,50.11458,1168.436
124558,2022/8/1 01:15,34.8,27.5,7.3,13.9,20.5,6.6,1.7,-0.8,45.56042,1515.56,3302.965,50.21875,1196.789
124559,2022/8/1 01:20,34.9,27.6,7.3,14,20.6,6.6,1.8,-0.8,45.82084,1522.144,3331.687,50.9132,1206.665
124560,2022/8/1 01:25,34.9,27.7,7.2,14,20.6,6.6,1.8,-0.7,46.51528,1542.81,3367.245,51.26042,1234.389
124561,2022/8/1 01:30,34.9,27.8,7.1,13.9,20.5,6.6,1.8,-0.7,46.63681,1550.354,3362.526,51.26042,1232.707
124562,2022/8/1 01:35,35.1,27.8,7.3,14,20.4,6.4,1.8,-0.8,46.68888,1550.354,3281.174,51.8507,1230.14
124563,2022/8/1 01:40,34.9,27.8,7.1,13.9,20.4,6.5,1.8,-0.7,46.89722,1556.792,3341.674,51.38195,1234.584
124564,2022/8/1 01:45,35.1,27.8,7.3,13.9,20.5,6.6,1.8,-0.7,46.65416,1548.203,3367.245,52.28472,1237.231
124565,2022/8/1 01:50,34.9,27.8,7.1,13.9,20.5,6.6,1.8,-0.7,46.68888,1542.81,3371.958,51.90278,1244.655
124566,2022/8/1 01:55,34.9,27.8,7.1,13.9,20.4,6.5,1.8,-0.7,46.30694,1534.143,3295.259,52.23264,1229.824
124567,2022/8/1 02:00,34.9,27.8,7.1,13.9,20.4,6.5,1.8,-0.7,46.89722,1556.792,3334.752,51.27778,1218.585
124568,2022/8/1 02:05,35,27.7,7.3,13.9,20.4,6.5,1.7,-0.7,46.08125,1529.791,3285.897,51.19097,1210.597
124569,2022/8/1 02:10,34.8,27.7,7.1,13.9,20.4,6.5,1.7,-0.7,45.64722,1518.855,3262.375,50.93055,1200.159
124570,2022/8/1 02:15,34.9,27.7,7.2,13.9,20.4,6.5,1.7,-0.7,45.59514,1521.049,3262.375,50.49653,1188.688
124571,2022/8/1 02:20,34.9,27.7,7.2,13.9,20.4,6.5,1.7,-0.7,45.43889,1512.256,3250.551,50.11458,1191.753
124572,2022/8/1 02:25,34.9,27.7,7.2,13.9,20.4,6.5,1.7,-0.7,45.35209,1507.841,3250.551,50.13194,1194.538
124573,2022/8/1 02:30,34.9,27.7,7.2,13.9,20.4,6.5,1.7,-0.7,45.17847,1502.304,3226.773,50.13194,1189.965
124574,2022/8/1 02:35,34.9,27.7,7.2,13.9,20.4,6.5,1.7,-0.7,45.28263,1502.304,3229.158,50.11458,1180.022
124575,2022/8/1 02:40,34.8,27.7,7.1,13.9,20.4,6.5,1.7,-0.7,45.28263,1502.304,3233.925,50.11458,1177.266
124576,2022/8/1 02:45,34.9,27.7,7.2,14,20.4,6.4,1.7,-0.7,45.89028,1523.239,3214.509,50.11458,1184.713
124577,2022/8/1 02:50,34.9,27.7,7.2,14.1,20.4,6.299999,1.7,-0.8,45.47361,1513.359,3141.335,50.04514,1205.869
124578,2022/8/1 02:55,34.8,27.7,7.1,13.9,20.4,6.5,1.7,-0.7,45.54305,1512.256,3260.015,50.94792,1188.622
124579,2022/8/1 03:00,34.9,27.7,7.2,13.9,20.4,6.5,1.7,-0.7,45.00486,1490.049,3200.412,50.02778,1176.193
124580,2022/8/1 03:05,34.8,27.6,7.2,13.9,20.3,6.4,1.6,-0.7,45.0743,1505.629,3186.516,50.14931,1172.478
124581,2022/8/1 03:10,34.8,27.7,7.1,14,20.4,6.4,1.7,-0.7,44.95278,1500.083,3174.779,49.54167,1177.505
124582,2022/8/1 03:15,34.9,27.7,7.2,14.1,20.4,6.299999,1.7,-0.8,44.83125,1493.401,3111.252,49.64583,1174.659
124583,2022/8/1 03:20,34.9,27.6,7.3,13.9,20.4,6.5,1.7,-0.8,44.03264,1465.232,3149.473,49.87153,1170.787
124584,2022/8/1 03:25,34.8,27.6,7.2,13.9,20.4,6.5,1.6,-0.7,44.29306,1468.641,3164.111,50.04514,1167.629
124585,2022/8/1 03:30,34.8,27.6,7.2,13.9,20.4,6.5,1.6,-0.7,44.31041,1468.641,3156.8,50.11458,1162.838
124586,2022/8/1 03:35,34.8,27.6,7.2,14,20.4,6.4,1.6,-0.7,43.39028,1443.456,3059.816,49.35069,1155.915
124587,2022/8/1 03:40,34.8,27.6,7.2,13.9,20.4,6.5,1.6,-0.7,44.20625,1472.042,3154.36,49.38542,1157.616
124588,2022/8/1 03:45,34.9,27.7,7.2,13.9,20.4,6.5,1.6,-0.8,44.24097,1468.641,3156.8,49.33334,1156.57
124589,2022/8/1 03:50,34.8,27.6,7.2,13.9,20.4,6.5,1.6,-0.8,44.20625,1466.369,3144.579,49.78472,1155.328
124590,2022/8/1 03:55,34.7,27.4,7.3,13.9,20.4,6.5,1.6,-0.7,44.22361,1467.505,3154.36,49.94097,1157.607
124591,2022/8/1 04:00,34.5,27.4,7.1,13.9,20.4,6.5,1.7,-0.7,44.11945,1466.369,3144.579,49.62847,1154.749
124592,2022/8/1 04:05,34.6,27.4,7.2,13.9,20.4,6.5,1.6,-0.7,43.63333,1453.811,3129.85,49.35069,1141.926
124593,2022/8/1 04:10,34.7,27.4,7.3,13.9,20.4,6.5,1.6,-0.7,43.82431,1457.247,3137.223,49.71528,1145.899
124594,2022/8/1 04:15,34.6,27.4,7.2,13.9,20.4,6.5,1.6,-0.7,43.77222,1456.103,3137.223,49.71528,1141.063
124595,2022/8/1 04:20,34.7,27.5,7.2,13.9,20.4,6.5,1.6,-0.7,43.7375,1456.103,3115.052,49.26389,1155.304
124596,2022/8/1 04:25,34.8,27.7,7.1,14,20.4,6.4,1.6,-0.7,44.37986,1473.173,3117.827,49.15972,1162.138
124597,2022/8/1 04:30,34.9,27.7,7.2,14,20.4,6.4,1.6,-0.8,44.31041,1472.042,3115.432,49.69791,1168.071
124598,2022/8/1 04:35,34.9,27.7,7.2,13.9,20.4,6.5,1.6,-0.8,44.72708,1485.568,3210.022,49.76736,1173.952
124599,2022/8/1 04:40,34.9,27.6,7.3,13.9,20.4,6.5,1.6,-0.8,44.48403,1477.693,3181.103,49.80209,1167.894
124600,2022/8/1 04:45,34.7,27.5,7.2,13.9,20.4,6.5,1.6,-0.7,44.31041,1477.693,3168.975,49.69791,1159.973
124601,2022/8/1 04:50,34.6,27.4,7.2,13.9,20.4,6.5,1.6,-0.7,43.26875,1434.188,3090.23,49.64583,1146.492
124602,2022/8/1 04:55,34.5,27.4,7.1,13.9,20.4,6.5,1.6,-0.7,42.92153,1422.518,3070.229,49.38542,1131.792
124603,2022/8/1 05:00,34.6,27.4,7.2,13.9,20.4,6.5,1.6,-0.7,44.39722,1476.564,3166.544,48.95139,1140.777
124604,2022/8/1 05:05,34.6,27.4,7.2,13.9,20.4,6.5,1.6,-0.7,43.30347,1433.025,3065.208,49.68056,1117.639
124605,2022/8/1 05:10,34.6,27.3,7.3,14,20.4,6.4,1.5,-0.7,43.68542,1449.218,3067.128,48.43056,1124.12
124606,2022/8/1 05:15,34.5,27.4,7.1,14,20.4,6.4,1.6,-0.7,42.92153,1430.697,3022.994,49.07292,1123.336
124607,2022/8/1 05:20,34.7,27.5,7.2,14.1,20.4,6.299999,1.6,-0.8,43.82431,1462.955,3045.448,48.98611,1137.228
124608,2022/8/1 05:25,34.7,27.5,7.2,14,20.4,6.4,1.6,-0.7,43.87638,1451.516,3076.849,48.86459,1132.179
124609,2022/8/1 05:30,34.7,27.5,7.2,13.9,20.4,6.5,1.6,-0.8,43.51181,1450.368,3132.31,48.93403,1135.082
124610,2022/8/1 05:35,34.8,27.6,7.2,14,20.4,6.4,1.6,-0.8,44.46667,1474.305,3120.221,48.93403,1145.963
124611,2022/8/1 05:40,34.9,27.6,7.3,14,20.4,6.4,1.6,-0.8,44.29306,1466.369,3108.234,49.29861,1148.452
124612,2022/8/1 05:45,34.9,27.7,7.2,14,20.4,6.4,1.6,-0.8,44.72708,1485.568,3151.174,48.93403,1164.826
124613,2022/8/1 05:50,35.1,27.9,7.2,13.9,20.4,6.5,1.6,-0.8,44.34513,1474.305,3164.111,50.14931,1170.084
124614,2022/8/1 05:55,35.2,27.9,7.3,13.9,20.4,6.5,1.6,-0.8,44.51875,1477.693,3176.257,49.87153,1181.957
124615,2022/8/1 06:00,35.1,27.9,7.2,13.9,20.4,6.5,1.6,-0.7,44.76181,1490.049,3202.817,50.39236,1178.063
124616,2022/8/1 06:05,35.1,27.9,7.2,13.9,20.4,6.5,1.7,-0.7,44.43194,1474.305,3173.831,50.42708,1178.188
124617,2022/8/1 06:10,35.1,27.9,7.2,13.9,20.4,6.5,1.6,-0.7,44.41459,1477.693,3166.544,50.11458,1175.302
124618,2022/8/1 06:15,35.2,27.9,7.3,13.9,20.4,6.5,1.6,-0.7,44.55347,1477.693,3168.975,50.16666,1175.657
124619,2022/8/1 06:20,35.1,28.1,7,13.9,20.4,6.5,1.6,-0.7,44.50139,1483.322,3190.771,49.78472,1179.13
124620,2022/8/1 06:25,35.4,28.1,7.3,13.9,20.4,6.5,1.6,-0.8,44.55347,1483.322,3185.94,49.61111,1178.601
124621,2022/8/1 06:30,35.3,28.1,7.2,13.9,20.4,6.5,1.6,-0.8,44.08472,1460.674,3142.129,49.62847,1180.569
124622,2022/8/1 06:35,35.3,28.1,7.2,13.9,20.4,6.5,1.6,-0.8,45.03958,1493.401,3202.817,49.73264,1193.271
124623,2022/8/1 06:40,35.3,28.1,7.2,13.9,20.4,6.5,1.7,-0.8,44.60555,1491.167,3198.004,50.49653,1194.038
124624,2022/8/1 06:45,35.2,27.9,7.3,13.9,20.4,6.5,1.7,-0.8,44.93542,1490.049,3202.817,50.58333,1196.982
124625,2022/8/1 06:50,35.1,27.9,7.2,14,20.4,6.4,1.7,-0.7,44.34513,1478.82,3120.221,50.9132,1184.727
124626,2022/8/1 06:55,35.1,28,7.1,13.9,20.5,6.6,1.7,-0.7,44.17153,1468.641,3210.317,50.0625,1183.799
124627,2022/8/1 07:00,35.3,28.1,7.2,13.9,20.5,6.6,1.7,-0.7,45.03958,1494.517,3261.843,49.99305,1201.639
124628,2022/8/1 07:05,35.4,28.1,7.3,14,20.4,6.4,1.6,-0.8,45.19583,1496.746,3177.13,50.73959,1195.904
124629,2022/8/1 07:10,35.4,28.2,7.2,14,20.4,6.4,1.6,-0.7,44.60555,1485.568,3144.058,50.47917,1199.084
